ID,Latitude,Longitude,HillslopeSetting,ImagerySource
LS000127,34.451790,-119.673767,Modified,USGS
LS000128,34.452038,-119.673866,Modified,USGS
LS000129,34.452553,-119.673836,Unmodified,USGS
LS000130,34.451153,-119.673302,Modified,USGS
LS000131,34.451138,-119.673508,Modified,USGS
LS000132,34.451084,-119.673546,Modified,USGS
LS000133,34.451000,-119.668526,-9999,USGS
LS000134,34.452206,-119.676430,Modified,USGS
LS000135,34.452797,-119.671326,Modified,USGS
LS000136,34.452511,-119.666092,Modified,USGS
LS000137,34.451538,-119.651543,Modified,USGS
LS000138,34.451584,-119.651566,Modified,USGS
LS000139,34.453659,-119.661682,Modified,USGS
LS000140,34.453671,-119.661835,Modified,USGS
LS000141,34.453602,-119.661980,Modified,USGS
LS000142,34.453609,-119.664749,Modified,USGS
LS000143,34.454014,-119.667824,Modified,USGS
LS000144,34.454132,-119.667854,Modified,USGS
LS000145,34.454178,-119.667870,Modified,USGS
LS000146,34.454330,-119.667656,Modified,USGS
LS000147,34.453587,-119.674232,Unmodified,USGS
LS000148,34.455517,-119.674576,Modified,USGS
LS000149,34.455624,-119.674210,Modified,USGS
LS000150,34.457039,-119.677490,Modified,USGS
LS000151,34.456635,-119.665825,Modified,USGS
LS000152,34.457001,-119.663574,Modified,USGS
LS000153,34.457104,-119.664467,Unmodified,USGS
LS000154,34.456928,-119.665070,Unmodified,USGS
LS000155,34.456474,-119.663666,Modified,USGS
LS000156,34.456631,-119.663918,Modified,USGS
LS000157,34.456791,-119.660011,Unmodified,USGS
LS000158,34.456909,-119.659782,Unmodified,USGS
LS000159,34.458084,-119.651215,Unmodified,USGS
LS000160,34.459026,-119.655991,Modified,USGS
LS000161,34.459064,-119.656235,Modified,USGS
LS000162,34.458538,-119.658318,Modified,USGS
LS000163,34.458561,-119.658180,Modified,USGS
LS000164,34.458179,-119.658325,Modified,USGS
LS000165,34.458195,-119.657967,Modified,USGS
LS000166,34.461948,-119.670555,Unmodified,USGS
LS000167,34.461296,-119.670410,Unmodified,USGS
LS000168,34.472950,-119.669724,Unmodified,USGS
LS000169,34.467701,-119.676018,Modified,CALOES
LS000170,34.467728,-119.675804,Modified,USGS
