slope,curvature,twi,lithology,landcover,fault_distance,rainfall,fire_history,label,x,y
0.0,0.5280503630638123,0.27605313062667847,0.5,0.5,0.5,0.2791416347026825,0.0,1,272495.546895962,3805734.057513532
0.026155272498726845,0.5280390977859497,0.18573884665966034,0.75,0.5,0.75,0.3962622880935669,0.0,1,261096.66349628347,3813456.0408392735
0.03140218183398247,0.5317182540893555,0.18108360469341278,0.75,0.5,0.5,0.40931063890457153,0.0,1,259272.83472629962,3814058.0638195747
0.08868271857500076,0.5293659567832947,0.1544930785894394,0.75,0.5,0.5,0.41457727551460266,0.0,1,257449.21676298758,3814660.457482909
0.4789634943008423,0.5205088257789612,0.1023162305355072,0.75,0.5,0.0,0.5069473385810852,1.0,1,263005.51804310165,3816182.1950702565
0.28434672951698303,0.53167325258255,0.11766394227743149,0.75,0.5,0.0,0.5113232731819153,1.0,1,262115.1044309326,3817314.9418655545
0.45619070529937744,0.5331471562385559,0.10330194979906082,0.75,0.5,0.0,0.48757094144821167,1.0,1,256602.85067439367,3817457.7031953717
0.5129930973052979,0.5261633396148682,0.09342927485704422,0.75,0.0,0.5,0.5983489155769348,1.0,1,269492.1537732058,3818238.94107307
0.1474790722131729,0.5459326505661011,0.13581526279449463,0.75,0.5,0.75,0.5703282356262207,0.0,1,265845.82216666,3819440.1168681793
0.4460127055644989,0.5337385535240173,0.10106658935546875,0.75,0.5,0.75,0.5696977376937866,0.0,1,257608.44673021467,3820761.563475495
0.04381350055336952,0.5265821814537048,0.1735343635082245,0.75,0.5,0.25,0.33732566237449646,0.0,1,251890.8587825259,3813141.940380566
0.1308039277791977,0.528367280960083,0.144190713763237,0.75,0.5,0.25,0.42384567856788635,1.0,1,256544.7476199034,3815239.116306972
0.07672569900751114,0.5284103751182556,0.15738865733146667,0.75,0.5,0.5,0.41547438502311707,0.0,1,255625.80958366292,3815263.221916354
0.20196957886219025,0.5291838645935059,0.13232170045375824,0.75,0.5,0.5,0.4180026352405548,0.25,1,253802.6131658029,3815866.3572070505
0.30480247735977173,0.5312041640281677,0.11999272555112839,0.75,0.5,0.5,0.4241400957107544,0.25,1,251979.62748706594,3816469.8634422068
0.40271666646003723,0.5261840224266052,0.10011382400989532,0.75,0.5,0.0,0.5185902118682861,1.0,1,254794.69389691067,3818615.3205180694
0.30217185616493225,0.5311018228530884,0.11250124126672745,0.75,0.5,0.0,0.5648428201675415,0.0,1,250231.43760352518,3819847.0379730407
0.29863935708999634,0.5350963473320007,0.10939228534698486,0.75,0.5,0.25,0.5694909691810608,0.0,1,247536.23933851995,3822140.2431842964
0.49158498644828796,0.5315195322036743,0.10314235836267471,0.75,0.0,0.75,0.5750362277030945,0.0,1,253075.54836837584,3823101.2551278537
